"Id","SWB","CSE","PANASpos","PANASneg","SJAS_hc","ND","RSE","PSS","NP"
155,30,56,41,27,9,7,39,80,75
156,19,47,35,16,1,6,38,84,44
157,21,41,37,25,3,5,39,86,12
158,20,51,36,21,6,6,29,73,19
159,16,50,38,32,5,6,41,94,59
160,23,27,45,10,4,6,50,91,20
161,17,46,29,16,1,6,35,69,27
162,29,47,43,14,6,5,45,86,22
163,23,54,35,17,0,6,42,84,31
164,27,35,39,21,4,6,40,82,27
165,30,45,29,18,1,6,45,88,64
166,32,61,40,15,2,5,48,88,11
167,28,41,37,26,4,4,44,92,10
168,25,44,38,22,5,3,42,88,10
169,18,47,39,18,0,6,37,86,21
170,28,47,39,22,2,5,38,91,12
171,32,50,45,19,6,7,43,95,37
172,30,48,35,25,0,6,45,89,30
173,31,62,39,23,4,4,38,93,12
174,30,39,38,18,3,5,44,82,22
175,19,46,37,18,4,9,44,86,54
176,28,47,40,15,5,8,45,92,84
177,11,68,33,32,2,7,30,90,38
178,16,53,29,41,7,3,26,77,4
179,20,47,27,16,3,3,38,66,13
180,29,58,34,23,2,7,47,90,45
181,23,57,45,28,10,7,49,93,53
182,23,66,40,24,6,3,35,77,8
183,30,42,46,21,7,7,50,95,36
184,26,43,34,22,3,5,45,87,37
185,22,40,40,26,6,5,47,96,23
186,31,57,42,28,5,7,44,94,132
187,18,48,32,27,2,7,37,83,74
189,27,43,41,19,4,5,47,88,16
190,19,53,41.1111111111111,31,3,4,37,75,14
191,21,55,30,21,3,3,36,67,12
192,26,27,44,18,3,9,48,92,28
193,26,50,35.5555555555556,21,2,7,38,83,20
194,18,50,38,16,3,5,38,82,22
195,21,48,39,17,6,5,44,91,25
196,21,58,37,29,1,6,33,70,19
197,34,37,36,13,1,6,50,91,24
198,26,50,31.1111111111111,15,1,5,47,96,20
199,30,57,36,20,1,4,48,89,19
200,32,44,42,15,2,7,49,84,44
201,17,41,33,22,2,6,41.1111111111111,87,19
202,20,44,33,21,1,7,44,71,12
203,23,39,37,16,1,7,35,86,51
204,20,54,30,20,2,5,28,78,35
205,30,40,44,20,6,7,44,69,28
206,23,44,35,21,1,6,40,72,21
207,29,52,30,23,4,6,43,94,29
208,33,33,47,14,7,7,50,93,19
209,29,64,37,23,2,5,33,82,18
210,17,52,31.1111111111111,14.4444444444444,5,5,37,72,20
211,28,36,36,22,6,6,50,94,23
212,27,46,32,15,1,4,49,86,8
213,19,55,37,17,5,6,40,71,17
214,14,57,39,21,7,6,44,79,35
215,19,36,31,12,1,5,44,80,30
216,17,49,31,24,4,8,41,77,41
217,20,55,33,25,0,4,38,81,12
218,26,35,22,15,4,6,47,92,15
219,24,64,34,15,1,5,33,70,18
220,27,48,37,16,2,5,40,79,22
221,26,57,26,18,1,6,40,84.5217391304348,18
222,14,46,41,23,3,6,42,90,46
223,25,54,41,23,5,5,43,86,25
224,17,35,32,25,4,4,42,87,12
225,23,52,44,21,9,8,42,79,49
226,16,54,29,19,2,5,36,74,17
227,28,57,38,26,2,6,44,89,76
228,12,59,22,33,1,8,31,73,24
229,28,55,38,18,5,8,44,85,41
230,23,41,34,16,6,4,39,66,8
231,26,53,40,21,0,6,35,87,19
232,30,32,34,16,6,7,47,93,37
233,10,75,35,42,6,4,12,89,4
234,20,38,31,10,2,6,45,92,20
235,20,57,37,31,3,8,36,87,79
236,23,54,38,21,6,8,41,87,53
237,31,37,40,15,4,8,47,95,98
238,27,48,44,20,6,4,46,92,10
239,17,56,25,27,0,5,28,72,13
241,24,49,41,22,6,8,48,86,61
242,25,54,31,16,2,5,39,73,17
243,31,43,39,16,5,5,49,88,23
244,22,52,37,19,2,6,41,91,21
245,17,56,38,35,0,5,35,82,15
246,20,53,30,31,5,7,30,85,31
247,31,43,37,22,2,5,44,88,25
248,26,34,43,19,6,6,48,72,21
249,22,54,35,19,3,7,37,82,17
250,33,48,39,25,5,6,40,90,14
251,11,34,43,27,5,5,41,80,18
252,24,49,43,19,5,6,46,73,18
253,17,44,25,11,2,7,39,75,17
255,23,56,45,14,10,8,45,94,64
256,24,63,35,20,8,8,37,87,69
257,13,35,30,25,3,4,46,80,9
258,21,50,25,25,0,3,35,77,10
259,17,55,41,27,2,5,33,72,25
260,33,49,42,26,2,5,44,83,23
261,30,47,28,20,6,5,46,87,9
262,26,42,34,22,3,5,44,92,19
263,28,20,47,12.2222222222222,5,5,50,94,19
264,24,42,33,16,9,5,42,86,18
265,31,23,42,13,3,7,46,94,22
266,16,40,37,17,2,6,39,83,19
267,26,59,40,14,6,8,46,92,26
268,35,34,44.4444444444444,13,5,6,49,89,40
269,12,50,38,21,0,6,31,90,28
270,28,45,46,14,6,5,46,94,15
271,26,54,42,23,0,5,41,77,21
272,30,46,36,13,0,7,47,91,60
273,23,55,41,17,5,7,38,91,31
274,33,44,39,12,2,7,47,92,22
275,24,58,32,19,3,8,46,86,37
276,17,38,40,26,4,6,39,78,14
277,26,61,34,18,1,6,40,89,26
278,26,29,49,10,6,10,50,96,30
279,17,59,33,36,3,6,22,72,22
280,23,46,40,21,5,8,43,87,27
281,26,55,37,18,5,4,41,77,17
282,24,56,41,24,7,5,42,92,11
283,17,51,36,22,5,5,42,71,20
284,17,44,33,26,2,5,35,74,19
285,26,57,26,23,7,6,46,81,21
286,28,53,40,28,4,6,41,90,71
287,19,51,35,27,1,6,43,87,23
288,27,57,39,17,7,5,43,90,37
289,22,47,42,18,2,6,44,83,23
290,28,34,45,22,5,8,49,93,30
291,24,44,34,18,4,6,39,91,29
292,30,43,41,19,5,8,44,87,33
293,23,37,37,13,4,7,39,91,26
294,23,44,37,22,5,7,40,86,30
295,30,53,38,17,5,3,48,87,13
296,31,46,47,15,6,5,48,93,25
297,26,55,26,21,1,5,25,92,10
298,32,49,34,14,5,8,41,88,14
299,19,60,29,17,1,5,38,86,65
300,31,55,29,20,1,7,36,81,23
301,29,45,34,23,1,7,42,86,33
302,25,52,35,23,2,6,43,93,34
303,23,50,32,26,0,6,42,80,21
304,14,47,27,36,4,4,34,79,20
305,16,51,36,20,2,6,39,94,10
306,31,47,40,15,3,6,45,78,15
307,24,35,42,21,4,6,47,90,15
308,19,45,39,22,4,7,45,95,25
309,22,62,22,19,0,5,36,92,23
311,29,49,40,24,3,5,43,92,19
312,22,55,42,27,10,4,40,74,10
313,14,58,33,25,0,4,30,78,16
314,24,48,34,26,4,6,40,91,44
315,29,50,42,26,5,7,40,90,23
316,26,45,37,22,3,4,42,88,21
317,21,49,40,24,6,5,40,91,28
318,20,46,34,27,4,7,39,85,12
319,26,53,39,17,1,5,41,91,25
320,16,47,39,18,3,6,35,82,31
321,32,51,41,16,0,5,45,93,17
322,25,38,35,24,2,7,43,92,22
323,19,57,44,17,2,4,43,81,16
324,22,48,34,22,0,7,39,71,23
325,31,40,42,12,4,4,45,91,15
326,30,44,40,13,3,6,46,87,21
327,11,57,25,31,1,3,24,66,10
328,31,47,39,18,5,7,50,94,74
329,32,55,42,19,4,7,44,92,69
330,25,56,36,19,1,7,45,91,61
331,22,64,44,19,8,6,37,80,23
332,23,53,32,15,0,6,37,85,15
333,25,52,34,25,3,6,40,87,25
334,26,53,23,15,0,4,38,84,9
335,28,41,41,26,2,4,43,87,18
336,24,50,39,20,2,9,45,74,42
337,30,38,36,21,3,5,43,76,27
338,22,43,34,19,1,5,44,80,22
339,32,27,41,12,7,6,47,94,24
340,30,35,50,20,7,6,48,91,24
341,5,42,21,38,0,3,28,55,10
342,14,48,27,20,0,5,28,69,24
343,26,50,29,14,3,6,39,72,37
344,23,38,35,18,0,6,47,81,23
345,30,48,36,17,3,4,43,90,14
346,21,24,39,15,3,9,46,95,22
347,17,57,36,28,0,4,36,68,20
348,20,54,25,20,4,7,37,87,16
349,10,63,32,32,8,4,17,71,18
350,33,56,42,26,4,5,50,92,19
351,32,45,38,16,4,6,47,86,16
352,21,47.1428571428571,37,25,0,8,41,70,82
353,26,60,36,24,4,8,44,84,57
354,19,51,33,24,8,6,34,85,30
355,26,56,39,21,6,5,44,74,12
356,30,42,31,14,3,7,42,95,47
357,16,58,29,26,1,4,37,84,20
358,31,55,35,15,1,5,33,87,17
359,25,56,28,22,0,4,43,76,10
360,28,47,35,24,2,7,37,87,54
361,19,48,33,22,0,8,40,76,18
362,28,56,37,15,2,4,38,73,14
363,12,38,35,21,5,6,37,79,12
364,30,38,40,15,3,3,38,58,5
365,26,43,42,28,0,5,41,78,12
366,17,65,30,29,2,8,31,75,37
367,26,32,34,21,5,7,46,73,18
368,28,49,34,15,5,8,42,87,40
369,11,58,25,22,4,4,31,66,11
370,27,55,41,11,3,9,43,93,63
371,25,42,44,18,6,5,46,89,37
372,30,53,45,17,8,7,50,94,29
373,25,56,31,16,0,8,40,94,64
374,26,49,35,18,6,7,47,92,23
375,16,60,39,28,4,7,28,84,17
376,23,42,38,16,0,4,42,91,18
377,21,51,33,19,2,4,38,88,16
378,28,58,45,20,7,5,44,85,48
379,23,47,37,31,3,4,40,84,12
380,34,34,47,16,4,6,50,94,29
381,35,44,44,15,2,7,44,95,43
382,22,48,36,23,4,6,46,74,37
383,23,48,32,24,0,6,43,85,52
384,27,41,38,26,1,5,41,88,20
385,30,42,43,16,7,10,50,89,44
386,23,58,40,15,5,6,38,90,23
387,28,42,36,14,0,6,41,83,18
388,21,55,44,29,6,5,47,95,38
389,29,42,39,24,6,7,43,92,17
390,26,50,38,20,2,6,37,91,69
391,30,58,47,17,4,6,48,94,19
392,28,43,40,25,4,7,38,75,38
393,10,46,19,16,0,3,19,47,8
